job_link,job_title,company,job_location,first_seen,search_city,search_country,job_type,job_skills,job_loc_city,job_loc_state,job_level
https://www.linkedin.com/jobs/view/principal-clinical-data-scientist-focus-on-statistics-at-boehringer-ingelheim-3678216239,Principal Clinical Data Scientist - Focus on Statistics,Boehringer Ingelheim,"Ridgefield, CT",2024-01-14,New Milford,United States,Onsite,"Data Science, Statistical Analysis, Clinical Trials, Registries, RealWorld Data, Data Transformation, Data Mining, Machine Learning, Artificial Intelligence, Data Analytics, Data Visualization, Data Warehousing, Data Management, Data Governance, Databases, SAS, R, MATLAB, Python, Java, C++, Clinical Development, Clinical Research, Regulatory Affairs, Bioinformatics, Statistics, Mathematics, Computer Science, Psychology, Finance, Bachelor of Science (BSc), Master of Science (MSc), Doctoral Degree (PhD), ICH Guidelines, GCP Guidelines, Statistical Methodology, Clinical Development Plan, English (Fluent)",Ridgefield,CT,Principle/Head/Manager
https://www.linkedin.com/jobs/view/senior-manager-data-science-at-medidata-solutions-3755936241,"Senior Manager, Data Science",Medidata Solutions,"New York, United States",2024-01-15,Hamilton,United States,Onsite,"AWS, Lambdas, Sage Maker, ECS, R, Python, SQL, Clinical trial forecasting, Data science, Modeling, Machine learning, Statistics, Cloud computing, Software development, Data analysis, Problemsolving, Communication, Teamwork",New York,United States,Principle/Head/Manager
https://www.linkedin.com/jobs/view/manager-sr-manager-market-access-data-science-at-axsome-therapeutics-inc-3761264897,"Manager/Sr. Manager, Market Access Data Science","Axsome Therapeutics, Inc.","New York, NY",2024-01-16,Little Falls,United States,Onsite,"Data Warehousing, Data Reporting, Model Development, CrossFunctional Data Collaboration, Data Science, Biostatistics, Computer Science, 5+ years experience in data science, SAS, R, Python, ARIMA, Exponential Smoothing, Time Series Decomposition, Machine Learning Algorithms, AWS, Azure, Google Cloud, Data Integration, ETL, Talent, Informatica, SSIS, PowerBI, Tableau, SQL, Data Extraction, Data Governance, HIPAA, Data Visualization, Programming Languages",New York,NY,Principle/Head/Manager
https://www.linkedin.com/jobs/view/data-science-manager-growth-at-coinbase-3795152667,"Data Science Manager, Growth",Coinbase,"Chicago, IL",2024-01-16,Niles,United States,Onsite,"Data Science, Product Development, Engineering, Design, Experimentation, Analytics, Advanced Modeling, Growth Strategies, Scalable Processes, Data Visualization, SQL, R, Python, Data Models, Experimental Design, Business Intelligence, Fintech, Structured Data, Unstructured Data",Chicago,IL,Principle/Head/Manager
https://www.linkedin.com/jobs/view/data-science-manager-at-guidehouse-3774788581,Data Science Manager,Guidehouse,"Arlington, VA",2024-01-17,Alexandria,United States,Onsite,"Project Management, Data Science, Analytics, Client Relationship Building, Agile Methodology, Data Analysis, Data Visualization, Public Speaking, Data Science Research, Data Science and Analytics Consulting, Quantitative Analysis, Computational Analysis, Python, R, SAS, SQL, Tableau, Power BI, Scrum Master, Agile Product Management, Agile Product Owner, Scaled Agile Framework (SAFE), PMIAgile, ICAgile, EWM (IBM Engineering Workflow Management), Ability to obtain Public Trust Clearance, Secret Clearance, Top Secret Clearance, Federal Defense & Security Experience, Business Development, RFP (Request for Proposal), RFQ (Request for Quotation), RFI (Request for Information), White Paper Writing, Presentations, Demonstrations, US Citizenship",Arlington,VA,Principle/Head/Manager
https://www.linkedin.com/jobs/view/manager-data-science-and-analytics-may-be-underfilled-at-fairfax-county-public-schools-3790538058,"Manager, Data Science and Analytics- (May Be Underfilled)",Fairfax County Public Schools,"Fairfax County, VA",2024-01-16,Alexandria,United States,Onsite,"Data analysis, Data science, Statistics, Computer science, Programming, SQL, Snowflake, Oracle, SPSS, APEX, Tableau, Python, Informatica, ETL, ELT, Data governance, Data quality, Regulatory compliance, Data warehousing, AWS, GCP, Azure, Git, Scrum, Kanban, Power BI, Qlik, R, Stata",Fairfax County,VA,Principle/Head/Manager
https://www.linkedin.com/jobs/view/sr-principal-scientist-global-commercial-data-science-at-johnson-johnson-3801855356,"Sr. Principal Scientist, Global Commercial Data Science",Johnson & Johnson,"Raritan, NJ",2024-01-14,Hillsborough,United States,Onsite,"Data Science, AI/ML, Algorithms, Statistical Modeling, Supervised Learning, Unsupervised Learning, Regression Analysis, Clustering, Outlier Detection, Decision Trees, Ensemble Methods, Neural Networks, Python, R, SQL, A/B Testing, AWS, Business Intelligence Tools, Epidemiology, Medical Affairs, Market Access, Oncology",Raritan,NJ,Principle/Head/Manager
https://www.linkedin.com/jobs/view/data-science-manager-growth-at-coinbase-3795158011,"Data Science Manager, Growth",Coinbase,"Salt Lake City, UT",2024-01-16,Layton,United States,Onsite,"DeFi, NFTs, DAOs, Web 3.0, Direct communication, Candid feedback, Growth strategies, Experimentation, Rigorous decision making, Data science, Product management, Data analysis, Modeling, Communication, Storytelling, Business intelligence, Data visualization, SQL, R, Python, Data models, Experimental design, Business metrics, Systems, Automation, BA / BS degree, Handson experience, Business insights, Internal storytelling, Executive presentations, Analytics tools, Looker, Tableau, Domain experience, Structured data, Unstructured data",Salt Lake City,UT,Principle/Head/Manager
https://www.linkedin.com/jobs/view/principal-data-scientist-marketing-at-legalzoom-3720377465,"Principal Data Scientist, Marketing",LegalZoom,"Mountain View, CA",2024-01-16,Union City,United States,Onsite,"Data Science, Marketing, Statistics, Experimental design, Web analytics, Data modeling, SQL, Attribution, Mediamix models, A/B testing, Bayesian inference, Machine learning, Python, R, SAS, Big data, Cloud computing, Data visualization, Communication, Problemsolving, Critical thinking, Analytical skills, Industry knowledge, Team player, Experience, Education, Skills, Bachelor's degree, Master's degree, Experience as a Data Scientist, Business and organizational needs",Mountain View,CA,Principle/Head/Manager
https://www.linkedin.com/jobs/view/data-science-manager-credit-risk-marketing-analytics-at-republic-finance-3793977916,Data Science Manager: Credit Risk & Marketing Analytics,Republic Finance,"Plano, TX",2024-01-17,Garland,United States,Onsite,"Data Science, Advanced Analytics, Machine Learning, Statistical Techniques, Python, SQL, Tableau, Power BI, Consumer Lending, Communication Skills, Large Datasets, Data Processing Frameworks, Data Pipelines, Supervised Learning, Unsupervised Learning, Data Wrangling, NoSQL Databases, MongoDB, Git, JSON, XML",Plano,TX,Principle/Head/Manager
